depth,age,upstream distance,,,,,surface elevation,,,,,thinning function,,,,,past accumulation rate,,,,
[m],[yr],[km],,,,,[m.a.s.l.],,,,,,,,,,[m/yr],,,,
,,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread
51,260.103260063559,28.7037965132132,27.4335580835714,25.4526624162636,27.1966723376827,1.74400992141914,2727.78967857593,2726.83005289062,2718.75259723817,2724.45744290157,5.70484566340617,0.116921771340789,0.0667280289295561,0.164820719356199,0.116156839875515,0.0494288109459586,0.130226288303592,0.123222387004827,0.137694986771405,0.130381220693275,0.00731376607813051
52,267.982769931871,28.9541202286238,27.736932264048,25.7407727225385,27.4772750717367,1.73650234919823,2727.69085411104,2726.9618217381,2718.95759623216,2724.53675736043,5.57916112827244,0.114971177093711,0.0655619014472788,0.163172780253117,0.114568619598036,0.0490067181507569,0.129939270929458,0.123068612226015,0.137423828104904,0.130143903753459,0.00727992435144442
53,275.771924901257,29.2044439440344,28.0403064445245,26.0288830288134,27.7578778057908,1.72899477697734,2727.59202964616,2727.09359058558,2719.16259522616,2724.6160718193,5.45347659313935,0.113020582846633,0.0643957739650015,0.161524841150035,0.112980399320557,0.0485846253555551,0.12965351593961,0.122915220773808,0.137153735308905,0.129907490674108,0.00724624463479711
54,283.995090897614,29.454767659445,28.3436806250011,26.3169933350884,28.0384805398448,1.72148720475644,2727.49320518127,2727.22535943306,2719.36759422016,2724.69538627816,5.32779205800579,0.111069988599555,0.0632296464827241,0.159876902046953,0.111392179043077,0.0484847230038757,0.129369015023833,0.122762211216667,0.136884702111151,0.129671976117217,0.0072127259939338
55,292.189747506628,29.7050913748556,28.6470548054776,26.6626550777977,28.3382670860436,1.67561200824596,2727.39438071638,2727.35712828053,2719.86509952128,2724.8722028394,5.00710331812256,0.109119394352477,0.0620635190004468,0.158228962943871,0.109803958765598,0.0484250041782728,0.129085759944694,0.122609582130173,0.1366167222885,0.129437354787789,0.00717936750071113
56,300.725033275019,29.9554150902662,28.9504289859542,27.0812700356087,28.6623713706097,1.58110133500103,2727.2955562515,2727.48889712801,2720.73339097239,2725.17261478397,4.43922381157474,0.107168800105399,0.0608973915181695,0.156581023840789,0.108215738488119,0.0483652853526698,0.128803742536748,0.12245733209698,0.136349789666449,0.129203621433392,0.00714616823305642
57,308.736942866361,30.2057388056768,29.2538031664307,27.4998849934196,28.9864756551757,1.4865906617561,2727.19673178661,2727.62066597549,2721.60168242351,2725.47302672854,3.87134430502789,0.105218205858321,0.0597312640358922,0.154933084737707,0.10662751821064,0.0483055665270669,0.128522954705749,0.122305459706777,0.136083898118655,0.128970770843727,0.00711312727492809
58,316.909970963262,30.4560625210875,29.5571773469073,27.9184999512306,29.3105799397418,1.39207998851117,2727.09790732173,2727.75243482297,2722.46997387463,2725.77343867311,3.30346479848059,0.103267611611243,0.0585651365536149,0.153285145634625,0.105039297933161,0.048245847701464,0.12824338842788,0.122153963556236,0.135819041566472,0.128738797850196,0.00708024371627578
59,324.74966572683,30.7063862364981,29.8605515273839,28.3371149090416,29.6346842243078,1.29756931526623,2726.99908285684,2727.88420367044,2723.33826532574,2726.07385061768,2.73558529193308,0.101317017364165,0.0573990090713376,0.151637206531543,0.103451077655682,0.048186128875861,0.127965035748986,0.122002842248978,0.135555213978483,0.128507697325482,0.0070475166530004
60,333.244943396226,30.9928117174289,30.14018841025,28.7557298668526,29.9629099981772,1.20718013132457,2727.06395197231,2727.93473944908,2724.20655677686,2726.40174939942,2.19519262255834,0.0993664231170874,0.0562328815890602,0.149989267428461,0.101862857378203,0.0481264100502581,0.127687888783821,0.121852094395522,0.135292409370044,0.128277464183129,0.00701494518691522
61,341.765383647799,31.3348556560124,30.3875120425645,29.1743448246636,30.2989041744135,1.1245593497499,2727.38100776996,2727.87469378962,2725.07484822798,2726.77684992918,1.70200170120593,0.0986436985596846,0.0548564673402932,0.149675964973979,0.101058710291319,0.0486172546826603,0.127585506215729,0.121674640968426,0.135242560792111,0.128167569325422,0.00707499146668904
62,349.910823899371,31.6768995945959,30.6348356748789,29.5929597824746,30.6348983506498,1.04200124394609,2727.6980635676,2727.81464813015,2725.94313967909,2727.15195045895,1.20881077985356,0.0979209740022818,0.0534800530915261,0.149362662519498,0.100254563204435,0.0491080993150625,0.127483287700662,0.121497703641232,0.135192748934132,0.128057913425342,0.00713483550879013
63,358.058992630966,32.0189435331794,30.8821593071934,30.0115747402856,30.9708925268861,1.04805100629328,2728.01511936524,2727.75460247068,2726.81143113021,2727.52705098871,0.715619858501069,0.097198249444879,0.0521036388427591,0.149049360065016,0.0994504161175514,0.0495989439474646,0.127381232844628,0.121321280165695,0.135142973755548,0.127948495588624,0.00719447816692409
64,367.276093222247,32.3609874717629,31.1294829395079,30.4301896980965,31.3068867031224,1.05410076864046,2728.33217516289,2727.69455681122,2727.67972258133,2727.90215151848,0.430023644408242,0.0964755248874762,0.050727224593992,0.148736057610534,0.0986462690306675,0.0500897885798668,0.127279341254899,0.121145368306611,0.13509323521586,0.12783931492579,0.00725392029006974
65,375.764517644031,32.7030314103464,31.3768065718223,30.8033450114913,31.6277276645534,1.07530374579304,2728.64923096053,2727.63451115175,2728.1583237149,2728.14735527573,0.512844123975773,0.0957528003300734,0.049350810345225,0.148422755156053,0.0978421219437837,0.050580633212269,0.128158629218974,0.121903098267909,0.136085225722571,0.128715651069818,0.00736957465275315
